,Overall,Potential,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,Name,Age,Nationality,PreferredPositions
0,94,94,89.0,63.0,89.0,63.0,93.0,95.0,85.0,81.0,91.0,94.0,76.0,7.0,11.0,15.0,14.0,11.0,88.0,29.0,95.0,77.0,92.0,22.0,85.0,95.0,96.0,83.0,94.0,23.0,91.0,92.0,31.0,80.0,85.0,88.0,Cristiano Ronaldo,32,Portugal,ST LW
1,93,93,92.0,48.0,90.0,95.0,95.0,96.0,77.0,89.0,97.0,95.0,90.0,6.0,11.0,15.0,14.0,8.0,71.0,22.0,68.0,87.0,88.0,13.0,74.0,93.0,95.0,88.0,85.0,26.0,87.0,73.0,28.0,59.0,90.0,85.0,L. Messi,30,Argentina,RW
2,92,94,94.0,56.0,96.0,82.0,95.0,92.0,75.0,81.0,96.0,89.0,84.0,9.0,9.0,15.0,15.0,11.0,62.0,36.0,61.0,75.0,77.0,21.0,81.0,90.0,88.0,81.0,80.0,33.0,90.0,78.0,24.0,53.0,80.0,83.0,Neymar,25,Brazil,LW
3,92,92,88.0,78.0,86.0,60.0,91.0,83.0,77.0,86.0,86.0,94.0,84.0,27.0,25.0,31.0,33.0,37.0,77.0,41.0,69.0,64.0,86.0,30.0,85.0,92.0,93.0,83.0,87.0,38.0,77.0,89.0,45.0,80.0,84.0,88.0,L. Suárez,30,Uruguay,ST
4,92,92,58.0,29.0,52.0,35.0,48.0,70.0,15.0,14.0,30.0,13.0,11.0,91.0,90.0,95.0,91.0,89.0,25.0,30.0,78.0,59.0,16.0,10.0,47.0,12.0,85.0,55.0,25.0,11.0,61.0,44.0,10.0,83.0,70.0,11.0,M. Neuer,31,Germany,GK
5,91,91,79.0,80.0,78.0,80.0,89.0,87.0,62.0,77.0,85.0,91.0,84.0,15.0,6.0,12.0,8.0,10.0,85.0,39.0,84.0,65.0,83.0,25.0,81.0,91.0,91.0,83.0,88.0,19.0,83.0,79.0,42.0,84.0,78.0,87.0,R. Lewandowski,28,Poland,ST
6,90,92,57.0,38.0,60.0,43.0,42.0,64.0,17.0,21.0,18.0,13.0,19.0,90.0,85.0,87.0,86.0,90.0,21.0,30.0,67.0,51.0,12.0,13.0,40.0,12.0,88.0,50.0,31.0,13.0,58.0,40.0,21.0,64.0,68.0,13.0,De Gea,26,Spain,GK
7,90,91,93.0,54.0,93.0,91.0,92.0,87.0,80.0,82.0,93.0,83.0,79.0,11.0,12.0,6.0,8.0,8.0,57.0,41.0,59.0,81.0,82.0,25.0,86.0,85.0,85.0,86.0,79.0,22.0,87.0,79.0,27.0,65.0,86.0,79.0,E. Hazard,26,Belgium,LW
8,90,90,60.0,60.0,71.0,69.0,89.0,85.0,85.0,85.0,79.0,76.0,84.0,10.0,11.0,13.0,7.0,10.0,54.0,85.0,32.0,93.0,90.0,63.0,73.0,79.0,86.0,90.0,87.0,69.0,52.0,77.0,82.0,74.0,88.0,82.0,T. Kroos,27,Germany,CDM CM
9,90,90,78.0,50.0,75.0,69.0,85.0,86.0,68.0,74.0,84.0,91.0,62.0,5.0,12.0,7.0,5.0,10.0,86.0,20.0,79.0,59.0,82.0,12.0,70.0,92.0,88.0,75.0,88.0,18.0,80.0,72.0,22.0,85.0,70.0,88.0,G. Higuaín,29,Argentina,ST
10,90,90,75.0,84.0,79.0,60.0,84.0,80.0,66.0,73.0,61.0,60.0,67.0,11.0,8.0,9.0,7.0,11.0,91.0,88.0,93.0,72.0,55.0,86.0,68.0,52.0,85.0,78.0,79.0,91.0,77.0,84.0,89.0,81.0,63.0,66.0,Sergio Ramos,31,Spain,CB
11,89,92,76.0,68.0,80.0,75.0,87.0,84.0,90.0,83.0,85.0,83.0,83.0,15.0,13.0,5.0,10.0,13.0,53.0,56.0,65.0,84.0,86.0,30.0,77.0,84.0,88.0,90.0,85.0,40.0,75.0,87.0,51.0,73.0,90.0,82.0,K. De Bruyne,26,Belgium,RM CM CAM
12,89,92,46.0,23.0,61.0,45.0,23.0,52.0,14.0,19.0,13.0,14.0,11.0,85.0,91.0,69.0,86.0,88.0,13.0,15.0,68.0,31.0,17.0,11.0,27.0,13.0,81.0,32.0,36.0,16.0,52.0,38.0,18.0,70.0,44.0,12.0,T. Courtois,25,Belgium,GK
13,89,89,88.0,80.0,90.0,87.0,87.0,86.0,80.0,78.0,90.0,85.0,78.0,10.0,10.0,15.0,12.0,13.0,70.0,42.0,85.0,73.0,82.0,30.0,77.0,86.0,87.0,81.0,84.0,35.0,84.0,85.0,39.0,72.0,83.0,83.0,A. Sánchez,28,Chile,RM LW ST LM
14,89,89,75.0,62.0,93.0,94.0,92.0,84.0,78.0,79.0,86.0,71.0,77.0,13.0,9.0,7.0,14.0,9.0,55.0,76.0,67.0,83.0,82.0,66.0,80.0,79.0,88.0,92.0,73.0,73.0,71.0,82.0,80.0,58.0,90.0,74.0,L. Modrić,31,Croatia,CDM CM
15,89,89,93.0,65.0,77.0,65.0,87.0,85.0,87.0,86.0,89.0,87.0,85.0,15.0,15.0,11.0,5.0,6.0,86.0,59.0,85.0,80.0,90.0,51.0,76.0,86.0,87.0,86.0,91.0,52.0,95.0,76.0,55.0,80.0,79.0,76.0,G. Bale,27,Wales,RW
16,89,89,90.0,63.0,86.0,91.0,89.0,90.0,70.0,82.0,89.0,90.0,72.0,13.0,15.0,6.0,11.0,14.0,68.0,24.0,80.0,63.0,83.0,13.0,83.0,91.0,89.0,79.0,88.0,12.0,84.0,74.0,20.0,74.0,83.0,85.0,S. Agüero,29,Argentina,ST
17,89,89,68.0,92.0,59.0,64.0,57.0,82.0,58.0,60.0,58.0,33.0,31.0,3.0,3.0,2.0,4.0,3.0,84.0,88.0,89.0,59.0,49.0,92.0,50.0,28.0,82.0,59.0,78.0,90.0,78.0,68.0,92.0,91.0,50.0,45.0,G. Chiellini,32,Italy,CB
18,89,89,49.0,38.0,55.0,49.0,28.0,70.0,13.0,20.0,26.0,15.0,13.0,89.0,88.0,74.0,90.0,84.0,13.0,28.0,75.0,35.0,13.0,10.0,22.0,12.0,80.0,37.0,39.0,11.0,43.0,39.0,11.0,69.0,50.0,17.0,G. Buffon,39,Italy,GK
19,88,93,88.0,48.0,91.0,85.0,93.0,84.0,80.0,88.0,92.0,85.0,84.0,5.0,4.0,4.0,5.0,8.0,68.0,24.0,75.0,71.0,88.0,14.0,86.0,84.0,84.0,83.0,82.0,20.0,84.0,83.0,20.0,65.0,84.0,88.0,P. Dybala,23,Argentina,ST CAM
20,88,93,43.0,34.0,67.0,49.0,16.0,55.0,13.0,13.0,12.0,11.0,14.0,84.0,90.0,77.0,87.0,84.0,15.0,19.0,76.0,26.0,12.0,14.0,11.0,11.0,84.0,29.0,22.0,18.0,60.0,41.0,12.0,78.0,55.0,13.0,J. Oblak,24,Slovenia,GK
21,88,91,87.0,69.0,90.0,80.0,86.0,86.0,82.0,84.0,87.0,88.0,75.0,14.0,8.0,14.0,13.0,14.0,80.0,35.0,87.0,75.0,82.0,23.0,71.0,91.0,90.0,79.0,81.0,11.0,86.0,76.0,22.0,61.0,76.0,87.0,A. Griezmann,26,France,LW RW ST
22,88,90,77.0,57.0,90.0,86.0,92.0,83.0,72.0,85.0,90.0,69.0,77.0,6.0,11.0,7.0,9.0,13.0,58.0,78.0,75.0,90.0,82.0,49.0,75.0,83.0,84.0,91.0,75.0,62.0,68.0,75.0,64.0,59.0,86.0,90.0,Thiago,26,Spain,CDM CAM CM
23,88,88,95.0,43.0,77.0,70.0,82.0,84.0,77.0,78.0,82.0,88.0,74.0,6.0,9.0,15.0,9.0,9.0,79.0,48.0,77.0,64.0,79.0,28.0,79.0,89.0,87.0,77.0,81.0,36.0,96.0,79.0,25.0,77.0,77.0,86.0,P. Aubameyang,28,Gabon,ST
24,88,88,62.0,82.0,60.0,52.0,75.0,84.0,44.0,56.0,69.0,39.0,61.0,2.0,2.0,3.0,2.0,4.0,88.0,90.0,85.0,85.0,65.0,84.0,70.0,38.0,86.0,79.0,74.0,88.0,72.0,73.0,88.0,85.0,74.0,58.0,L. Bonucci,30,Italy,CB
25,88,88,72.0,82.0,58.0,53.0,71.0,86.0,69.0,56.0,67.0,34.0,31.0,7.0,12.0,15.0,6.0,5.0,85.0,83.0,75.0,80.0,58.0,88.0,46.0,47.0,82.0,75.0,79.0,90.0,78.0,74.0,91.0,91.0,76.0,53.0,J. Boateng,28,Germany,CB
26,88,88,62.0,86.0,63.0,58.0,76.0,82.0,55.0,49.0,53.0,42.0,51.0,6.0,8.0,15.0,5.0,15.0,92.0,88.0,89.0,70.0,43.0,87.0,50.0,48.0,85.0,79.0,67.0,89.0,67.0,67.0,86.0,80.0,52.0,47.0,D. Godín,31,Uruguay,CB
27,88,88,62.0,66.0,64.0,58.0,77.0,91.0,64.0,65.0,68.0,55.0,53.0,15.0,6.0,10.0,5.0,6.0,89.0,89.0,68.0,85.0,51.0,85.0,68.0,56.0,85.0,80.0,71.0,90.0,65.0,66.0,92.0,85.0,79.0,60.0,M. Hummels,28,Germany,CB
28,88,88,75.0,48.0,83.0,70.0,90.0,78.0,82.0,84.0,86.0,74.0,79.0,6.0,14.0,10.0,6.0,14.0,54.0,24.0,52.0,84.0,76.0,22.0,67.0,83.0,87.0,89.0,70.0,19.0,68.0,69.0,16.0,57.0,92.0,77.0,M. Özil,28,Germany,RW CAM
29,88,88,65.0,31.0,55.0,54.0,34.0,61.0,13.0,11.0,10.0,10.0,10.0,88.0,86.0,68.0,82.0,90.0,10.0,27.0,74.0,50.0,14.0,12.0,40.0,10.0,85.0,50.0,23.0,18.0,63.0,41.0,10.0,43.0,30.0,11.0,H. Lloris,30,France,GK
30,88,88,70.0,77.0,74.0,68.0,80.0,83.0,60.0,61.0,68.0,38.0,67.0,9.0,12.0,5.0,9.0,10.0,82.0,89.0,93.0,81.0,71.0,90.0,71.0,59.0,84.0,79.0,74.0,88.0,74.0,74.0,89.0,81.0,74.0,63.0,Thiago Silva,32,Brazil,CB
31,88,88,63.0,84.0,81.0,41.0,88.0,91.0,76.0,82.0,82.0,87.0,82.0,13.0,15.0,10.0,9.0,12.0,80.0,20.0,69.0,76.0,85.0,15.0,91.0,86.0,86.0,84.0,91.0,27.0,67.0,71.0,41.0,88.0,83.0,90.0,Z. Ibrahimović,35,Sweden,ST
32,88,88,87.0,47.0,89.0,91.0,89.0,86.0,80.0,87.0,92.0,85.0,81.0,10.0,8.0,11.0,5.0,15.0,51.0,39.0,61.0,71.0,88.0,29.0,80.0,85.0,87.0,84.0,87.0,26.0,86.0,68.0,26.0,67.0,83.0,86.0,A. Robben,33,Netherlands,RW RM
33,87,90,82.0,90.0,83.0,90.0,79.0,84.0,67.0,49.0,77.0,65.0,49.0,15.0,12.0,10.0,7.0,10.0,54.0,91.0,79.0,79.0,66.0,75.0,54.0,71.0,87.0,84.0,72.0,85.0,80.0,94.0,89.0,77.0,76.0,56.0,N. Kanté,26,France,CM CDM
34,87,91,69.0,89.0,87.0,94.0,88.0,91.0,72.0,73.0,90.0,58.0,64.0,12.0,12.0,15.0,15.0,10.0,55.0,86.0,64.0,89.0,58.0,76.0,64.0,71.0,87.0,90.0,56.0,79.0,62.0,77.0,84.0,56.0,88.0,64.0,M. Verratti,24,Italy,CDM CM
35,87,92,72.0,75.0,76.0,61.0,89.0,85.0,78.0,84.0,86.0,71.0,82.0,5.0,6.0,2.0,4.0,3.0,73.0,68.0,85.0,88.0,82.0,66.0,76.0,83.0,84.0,86.0,90.0,66.0,76.0,91.0,68.0,91.0,86.0,85.0,P. Pogba,24,France,CDM CM
36,87,91,77.0,44.0,78.0,82.0,87.0,87.0,86.0,85.0,84.0,76.0,87.0,9.0,14.0,7.0,7.0,6.0,52.0,55.0,57.0,86.0,84.0,38.0,67.0,81.0,83.0,89.0,80.0,22.0,74.0,90.0,56.0,57.0,90.0,74.0,C. Eriksen,25,Denmark,LM RM CAM
